UserID,CurrentPage,NextPage,Timestamp
1,Home,Product,2024-11-01 10:00:00
1,Product,Cart,2024-11-01 10:05:00
1,Cart,Checkout,2024-11-01 10:10:00
2,Home,Search,2024-11-01 10:15:00
2,Search,Product,2024-11-01 10:20:00
2,Product,Cart,2024-11-01 10:25:00
3,Home,Category,2024-11-01 10:30:00
3,Category,Product,2024-11-01 10:35:00
3,Product,Cart,2024-11-01 10:40:00
3,Cart,Checkout,2024-11-01 10:45:00
4,Home,Search,2024-11-01 10:50:00
4,Search,Category,2024-11-01 10:55:00
4,Category,Product,2024-11-01 11:00:00
5,Home,Product,2024-11-01 11:05:00
5,Product,Category,2024-11-01 11:10:00
5,Category,Cart,2024-11-01 11:15:00
6,Home,Product,2024-11-01 11:20:00
6,Product,Search,2024-11-01 11:25:00
6,Search,Cart,2024-11-01 11:30:00
7,Home,Category,2024-11-01 11:35:00
7,Category,Product,2024-11-01 11:40:00
7,Product,Cart,2024-11-01 11:45:00
8,Home,Search,2024-11-01 11:50:00
8,Search,Category,2024-11-01 11:55:00
8,Category,Product,2024-11-01 12:00:00
8,Product,Cart,2024-11-01 12:05:00
9,Home,Product,2024-11-01 12:10:00
9,Product,Checkout,2024-11-01 12:15:00
9,Checkout,Home,2024-11-01 12:20:00
10,Home,Search,2024-11-01 12:25:00
10,Search,Category,2024-11-01 12:30:00
10,Category,Checkout,2024-11-01 12:35:00
11,Home,Product,2024-11-01 12:40:00
11,Product,Cart,2024-11-01 12:45:00
11,Cart,Checkout,2024-11-01 12:50:00
12,Home,Search,2024-11-01 12:55:00
12,Search,Product,2024-11-01 13:00:00
12,Product,Checkout,2024-11-01 13:05:00
13,Home,Category,2024-11-01 13:10:00
13,Category,Cart,2024-11-01 13:15:00
13,Cart,Checkout,2024-11-01 13:20:00
14,Home,Product,2024-11-01 13:25:00
14,Product,Cart,2024-11-01 13:30:00
14,Cart,Checkout,2024-11-01 13:35:00
15,Home,Search,2024-11-01 13:40:00
15,Search,Category,2024-11-01 13:45:00
15,Category,Checkout,2024-11-01 13:50:00
16,Home,Product,2024-11-01 13:55:00
16,Product,Cart,2024-11-01 14:00:00
16,Cart,Checkout,2024-11-01 14:05:00

